time,edge,vehicles,speed,waiting,halting,ns_green,ew_green,tls_mode
54,W2C,4,12.6265,0.0,0,30,30,adaptive
55,N2C,10,5.5509,49.0,5,30,30,adaptive
55,S2C,11,4.7055,77.0,6,30,30,adaptive
55,E2C,4,12.7334,0.0,0,30,30,adaptive
55,W2C,4,12.9586,0.0,0,30,30,adaptive
56,N2C,10,5.2688,55.0,6,30,30,adaptive
56,S2C,11,4.5227,83.0,6,30,30,adaptive
56,E2C,4,12.4014,0.0,0,30,30,adaptive
56,W2C,4,12.7893,0.0,0,30,30,adaptive
57,N2C,10,5.1097,61.0,6,30,30,adaptive
57,S2C,11,4.541,90.0,7,30,30,adaptive
57,E2C,4,12.8742,0.0,0,30,30,adaptive
57,W2C,4,12.6797,0.0,0,30,30,adaptive
58,N2C,10,4.912,67.0,6,30,30,adaptive
58,S2C,11,4.2774,97.0,7,30,30,adaptive
58,E2C,4,12.8762,0.0,0,30,30,adaptive
58,W2C,4,12.6057,0.0,0,30,30,adaptive
59,N2C,10,4.5999,73.0,6,30,30,adaptive
59,S2C,11,3.9564,104.0,7,30,30,adaptive
59,E2C,4,12.5109,0.0,0,30,30,adaptive
59,W2C,4,12.5645,0.0,0,30,30,adaptive
60,N2C,11,5.0572,79.0,6,30,30,adaptive
60,S2C,12,4.315,111.0,7,30,30,adaptive
60,E2C,4,12.861,0.0,0,30,30,adaptive
60,W2C,5,12.8326,0.0,0,30,30,adaptive
61,N2C,11,4.6137,85.0,6,30,30,adaptive
61,S2C,12,4.2418,118.0,7,30,30,adaptive
61,E2C,4,12.6995,0.0,0,30,30,adaptive
61,W2C,5,12.5085,0.0,0,30,30,adaptive
62,N2C,11,4.3121,92.0,7,30,30,adaptive
62,S2C,12,4.0357,126.0,8,30,30,adaptive
62,E2C,4,12.7694,0.0,0,30,30,adaptive
62,W2C,4,12.8557,0.0,0,30,30,adaptive
63,N2C,11,3.9646,99.0,7,30,30,adaptive
63,S2C,12,3.5381,134.0,8,30,30,adaptive
63,E2C,4,12.5728,0.0,0,30,30,adaptive
63,W2C,4,13.1458,0.0,0,30,30,adaptive
64,N2C,12,4.27,106.0,7,30,30,adaptive
64,S2C,13,4.0829,142.0,8,30,30,adaptive
64,E2C,4,12.8275,0.0,0,30,30,adaptive
64,W2C,4,13.2518,0.0,0,30,30,adaptive
65,N2C,12,4.1462,113.0,7,30,30,adaptive
65,S2C,13,3.9847,150.0,8,30,30,adaptive
65,E2C,4,12.8282,0.0,0,30,30,adaptive
65,W2C,4,12.9318,0.0,0,30,30,adaptive
66,N2C,12,4.0627,121.0,8,35,25,adaptive
66,S2C,13,3.6794,158.0,8,35,25,adaptive
66,E2C,4,12.7082,0.0,0,35,25,adaptive
66,W2C,4,12.5484,0.0,0,35,25,adaptive
67,N2C,12,3.6143,129.0,8,35,25,adaptive
67,S2C,13,3.431,167.0,9,35,25,adaptive
67,E2C,4,12.8242,0.0,0,35,25,adaptive
67,W2C,4,13.0879,0.0,0,35,25,adaptive
68,N2C,12,3.2327,137.0,8,35,25,adaptive
68,S2C,13,3.1863,176.0,9,35,25,adaptive
68,E2C,4,12.3482,0.0,0,35,25,adaptive
68,W2C,4,13.1326,0.0,0,35,25,adaptive
69,N2C,13,3.9956,145.0,8,35,25,adaptive
69,S2C,14,3.6813,186.0,10,35,25,adaptive
69,E2C,5,11.6206,0.0,0,35,25,adaptive
69,W2C,5,12.9142,0.0,0,35,25,adaptive
70,N2C,13,3.8304,154.0,9,35,25,adaptive
70,S2C,14,3.7198,196.0,10,35,25,adaptive
70,E2C,5,10.7592,0.0,0,35,25,adaptive
70,W2C,5,12.5405,0.0,0,35,25,adaptive
71,N2C,13,3.8786,163.0,9,35,25,adaptive
71,S2C,14,3.6485,206.0,10,35,25,adaptive
71,E2C,5,10.1421,1.0,1,35,25,adaptive
71,W2C,5,11.1997,0.0,0,35,25,adaptive
72,N2C,13,3.8387,172.0,9,35,25,adaptive
72,S2C,14,3.5399,216.0,10,35,25,adaptive
72,E2C,5,10.2464,2.0,1,35,25,adaptive
72,W2C,5,10.63,0.0,0,35,25,adaptive
73,N2C,14,4.0952,181.0,9,35,25,adaptive
73,S2C,15,3.9238,226.0,10,35,25,adaptive
73,E2C,6,10.3859,3.0,1,35,25,adaptive
73,W2C,6,9.743,0.0,0,35,25,adaptive
74,N2C,14,3.6824,190.0,9,35,25,adaptive
74,S2C,15,3.5532,236.0,10,35,25,adaptive
74,E2C,6,10.4119,4.0,1,35,25,adaptive
74,W2C,6,9.1315,0.0,0,35,25,adaptive
75,N2C,14,3.2015,200.0,10,35,25,adaptive
75,S2C,15,3.1777,247.0,11,35,25,adaptive
75,E2C,6,10.086,5.0,1,35,25,adaptive
75,W2C,6,8.6438,1.0,1,35,25,adaptive
76,N2C,14,2.9928,210.0,10,35,25,adaptive
76,S2C,15,2.8844,258.0,11,35,25,adaptive
76,E2C,6,9.6426,6.0,1,35,25,adaptive
76,W2C,6,8.5402,2.0,1,35,25,adaptive
77,N2C,14,2.6731,220.0,10,35,25,adaptive
77,S2C,15,2.5219,269.0,11,35,25,adaptive
77,E2C,6,8.3993,7.0,1,35,25,adaptive
77,W2C,6,8.0276,4.0,2,35,25,adaptive
78,N2C,15,3.4304,231.0,11,35,25,adaptive
78,S2C,16,3.0657,281.0,12,35,25,adaptive
78,E2C,7,8.6832,8.0,1,35,25,adaptive
78,W2C,7,8.0986,6.0,2,35,25,adaptive
79,N2C,15,3.4467,242.0,11,35,25,adaptive
79,S2C,16,2.7563,293.0,12,35,25,adaptive
79,E2C,7,7.9536,10.0,2,35,25,adaptive
79,W2C,7,7.5766,8.0,2,35,25,adaptive
80,N2C,15,3.3735,253.0,11,35,25,adaptive
80,S2C,16,2.4756,305.0,12,35,25,adaptive
80,E2C,7,7.1777,12.0,2,35,25,adaptive
80,W2C,7,7.1859,10.0,2,35,25,adaptive
81,N2C,15,3.0914,264.0,11,35,25,adaptive
81,S2C,16,2.3974,317.0,12,35,25,adaptive
81,E2C,7,6.44,15.0,3,35,25,adaptive
81,W2C,7,6.8248,13.0,3,35,25,adaptive
82,N2C,16,3.4294,275.0,11,35,25,adaptive
82,S2C,17,3.1011,329.0,12,35,25,adaptive
82,E2C,8,7.1837,18.0,3,35,25,adaptive
82,W2C,8,7.4499,16.0,3,35,25,adaptive
83,N2C,16,3.0129,286.0,11,35,25,adaptive
83,S2C,17,2.8363,342.0,13,35,25,adaptive
83,E2C,8,6.6975,21.0,3,35,25,adaptive
83,W2C,8,6.6967,19.0,3,35,25,adaptive
84,N2C,16,2.8461,297.0,11,35,25,adaptive
84,S2C,17,2.6095,355.0,13,35,25,adaptive
84,E2C,8,6.5208,24.0,3,35,25,adaptive
84,W2C,8,6.4124,22.0,3,35,25,adaptive
85,N2C,16,2.6122,309.0,12,35,25,adaptive
85,S2C,17,2.4156,368.0,13,35,25,adaptive
85,E2C,8,6.0445,28.0,4,35,25,adaptive
85,W2C,8,6.1141,26.0,4,35,25,adaptive
86,N2C,16,2.3636,322.0,13,35,25,adaptive
86,S2C,17,2.2616,382.0,14,35,25,adaptive
86,E2C,8,5.4699,32.0,4,35,25,adaptive
86,W2C,8,5.6957,30.0,4,35,25,adaptive
87,N2C,17,3.0301,335.0,13,35,25,adaptive
87,S2C,18,2.8609,396.0,14,35,25,adaptive
87,E2C,9,6.1264,36.0,4,35,25,adaptive
87,W2C,9,6.175,34.0,4,35,25,adaptive
88,N2C,17,2.7762,348.0,13,35,25,adaptive
88,S2C,18,2.8698,410.0,14,35,25,adaptive
88,E2C,9,5.7469,40.0,4,35,25,adaptive
88,W2C,9,5.919,38.0,4,35,25,adaptive
89,N2C,17,2.6351,361.0,13,35,25,adaptive
89,S2C,18,2.6194,424.0,14,35,25,adaptive
89,E2C,9,5.6659,44.0,4,35,25,adaptive
89,W2C,9,5.6301,43.0,5,35,25,adaptive
90,N2C,17,2.33,374.0,13,35,25,adaptive
90,S2C,18,2.4068,438.0,14,35,25,adaptive
90,E2C,9,5.828,49.0,5,35,25,adaptive
90,W2C,9,5.8088,48.0,5,35,25,adaptive
91,N2C,18,2.8189,387.0,13,35,25,adaptive
91,S2C,19,2.7344,453.0,15,35,25,adaptive
91,E2C,10,6.3037,54.0,5,35,25,adaptive
91,W2C,10,6.1335,53.0,5,35,25,adaptive
92,N2C,18,2.5032,400.0,13,35,25,adaptive
92,S2C,19,2.5288,468.0,15,35,25,adaptive
92,E2C,10,5.8403,59.0,5,35,25,adaptive
92,W2C,10,5.5532,58.0,5,35,25,adaptive
93,N2C,18,2.3713,413.0,13,35,25,adaptive
93,S2C,19,2.3204,483.0,15,35,25,adaptive
93,E2C,10,5.4465,64.0,5,35,25,adaptive
93,W2C,10,5.1467,63.0,5,35,25,adaptive
94,N2C,18,2.1599,427.0,14,35,25,adaptive
94,S2C,19,2.0584,498.0,15,35,25,adaptive
94,E2C,10,4.7767,69.0,5,35,25,adaptive
94,W2C,10,5.0553,68.0,5,35,25,adaptive
95,N2C,18,2.1705,442.0,15,35,25,adaptive
95,S2C,19,1.8843,513.0,15,35,25,adaptive
95,E2C,10,4.3467,74.0,5,35,25,adaptive
95,W2C,10,4.685,74.0,6,35,25,adaptive
96,N2C,19,2.7,457.0,15,35,25,adaptive
96,S2C,20,2.3345,529.0,16,35,25,adaptive
96,E2C,11,4.7611,81.0,7,35,25,adaptive
96,W2C,11,5.184,80.0,6,35,25,adaptive
97,N2C,19,2.4565,472.0,15,35,25,adaptive
97,S2C,20,2.0318,545.0,16,35,25,adaptive
97,E2C,11,4.8272,88.0,7,35,25,adaptive
97,W2C,11,4.9345,86.0,6,35,25,adaptive
98,N2C,19,2.2955,487.0,15,35,25,adaptive
98,S2C,20,1.9541,561.0,16,35,25,adaptive
98,E2C,11,4.6894,95.0,7,35,25,adaptive
98,W2C,11,4.3288,93.0,7,35,25,adaptive
99,N2C,19,2.1916,502.0,15,35,25,adaptive
99,S2C,20,1.9042,578.0,17,35,25,adaptive
99,E2C,11,4.3468,102.0,7,35,25,adaptive
99,W2C,11,4.008,100.0,7,35,25,adaptive
100,N2C,20,2.5874,518.0,16,35,25,adaptive
100,S2C,21,2.4512,595.0,17,35,25,adaptive
100,E2C,12,4.6699,109.0,7,35,25,adaptive
100,W2C,12,4.3487,107.0,7,35,25,adaptive
101,N2C,20,2.3181,534.0,16,35,25,adaptive
101,S2C,21,2.2555,612.0,17,35,25,adaptive
101,E2C,12,4.4353,117.0,8,35,25,adaptive
101,W2C,12,4.2341,115.0,8,35,25,adaptive
102,N2C,18,2.4,422.0,14,35,25,adaptive
102,S2C,19,2.2677,493.0,15,35,25,adaptive
102,E2C,12,4.2216,125.0,8,35,25,adaptive
102,W2C,12,4.1296,123.0,8,35,25,adaptive
103,N2C,18,2.3793,327.0,12,35,25,adaptive
103,S2C,19,2.1652,386.0,13,35,25,adaptive
103,E2C,12,3.8394,133.0,8,35,25,adaptive
103,W2C,12,3.7037,131.0,8,35,25,adaptive
104,N2C,18,2.4937,239.0,10,35,25,adaptive
104,S2C,19,2.2033,293.0,12,35,25,adaptive
104,E2C,12,3.6464,141.0,8,35,25,adaptive
104,W2C,12,3.411,139.0,8,35,25,adaptive
105,N2C,17,3.1253,166.0,9,35,25,adaptive
105,S2C,18,2.7907,212.0,10,35,25,adaptive
105,E2C,13,4.1461,149.0,8,35,25,adaptive
105,W2C,13,3.9702,148.0,9,35,25,adaptive
106,N2C,17,3.1986,106.0,7,35,25,adaptive
106,S2C,18,2.944,144.0,8,35,25,adaptive
