time,edge,vehicles,speed,waiting,halting,traveltime,blocked,incident_active
47,N2C,6,6.2784,22.0,2,38.16,0,0
47,S2C,6,6.0824,22.0,3,39.39,0,0
47,E2C,3,12.5097,0.0,0,19.15,0,0
47,W2C,3,12.4224,0.0,0,19.29,0,0
48,N2C,6,5.5491,25.0,3,43.18,0,0
48,S2C,6,5.4557,25.0,3,43.92,0,0
48,E2C,3,12.9284,0.0,0,18.53,0,0
48,W2C,3,12.5124,0.0,0,19.15,0,0
49,N2C,7,6.1963,28.0,3,38.67,0,0
49,S2C,7,6.0922,28.0,3,39.33,0,0
49,E2C,4,13.0737,0.0,0,18.33,0,0
49,W2C,4,12.7147,0.0,0,18.84,0,0
50,N2C,7,5.6168,31.0,3,42.66,0,0
50,S2C,7,5.3967,31.0,3,44.4,0,0
50,E2C,3,12.7856,0.0,0,18.74,0,0
50,W2C,4,12.6232,0.0,0,18.98,0,0
51,N2C,7,5.4542,34.0,3,43.93,0,0
51,S2C,7,5.1236,34.0,3,46.76,0,0
51,E2C,3,12.6029,0.0,0,19.01,0,0
51,W2C,3,13.2088,0.0,0,18.14,0,0
52,N2C,7,5.4367,38.0,4,44.07,0,0
52,S2C,7,5.3567,37.0,3,44.73,0,0
52,E2C,3,12.9161,0.0,0,18.55,0,0
52,W2C,3,12.8743,0.0,0,18.61,0,0
53,N2C,7,5.3221,42.0,4,45.02,0,0
53,S2C,7,5.1866,40.0,3,46.2,0,0
53,E2C,3,12.7004,0.0,0,18.87,0,0
53,W2C,3,12.9055,0.0,0,18.57,0,0
54,N2C,7,5.2216,46.0,4,45.89,0,0
54,S2C,7,5.2154,44.0,4,45.94,0,0
54,E2C,3,12.6195,0.0,0,18.99,0,0
54,W2C,3,12.8194,0.0,0,18.69,0,0
55,N2C,8,6.3369,50.0,4,37.81,0,0
55,S2C,8,6.2877,48.0,4,38.11,0,0
55,E2C,4,13.3214,0.0,0,17.99,0,0
55,W2C,4,12.7273,0.0,0,18.83,0,0
56,N2C,8,6.284,54.0,4,38.13,0,0
56,S2C,8,5.7772,52.0,4,41.47,0,0
56,E2C,4,12.9711,0.0,0,18.47,0,0
56,W2C,3,12.7432,0.0,0,18.8,0,0
57,N2C,8,5.8334,58.0,4,41.07,0,0
57,S2C,8,5.2836,56.0,4,45.35,0,0
57,E2C,3,13.1718,0.0,0,18.19,0,0
57,W2C,3,13.0579,0.0,0,18.35,0,0
58,N2C,8,5.2303,62.0,4,45.81,0,0
58,S2C,8,4.8088,60.0,4,49.82,0,0
58,E2C,3,12.8957,0.0,0,18.58,0,0
58,W2C,3,13.1831,0.0,0,18.17,0,0
59,N2C,8,4.7769,66.0,4,50.16,0,0
59,S2C,8,4.8581,65.0,5,49.32,0,0
59,E2C,3,12.9352,0.0,0,18.52,0,0
59,W2C,3,12.833,0.0,0,18.67,0,0
60,N2C,8,4.1666,70.0,4,57.5,0,0
60,S2C,8,4.6974,70.0,5,51.01,0,0
60,E2C,3,13.0991,0.0,0,18.29,0,0
60,W2C,3,12.7525,0.0,0,18.79,0,0
61,N2C,9,4.6043,75.0,5,52.04,0,0
61,S2C,9,5.4365,75.0,5,44.07,0,0
61,E2C,3,13.3946,0.0,0,17.89,0,0
61,W2C,3,12.9356,0.0,0,18.52,0,0
62,N2C,9,4.5029,80.0,5,53.21,0,0
62,S2C,9,4.7718,80.0,5,50.21,0,0
62,E2C,3,13.3123,0.0,0,18.0,0,0
62,W2C,3,12.4342,0.0,0,19.27,0,0
63,N2C,9,4.3825,86.0,6,54.67,0,0
63,S2C,9,4.541,85.0,5,52.76,0,0
63,E2C,3,13.3986,0.0,0,17.88,0,0
63,W2C,3,12.7852,0.0,0,18.74,0,0
64,N2C,9,4.4837,92.0,6,53.44,0,0
64,S2C,9,4.4095,90.0,5,54.34,0,0
64,E2C,3,13.2286,0.0,0,18.11,0,0
64,W2C,3,12.7454,0.0,0,18.8,0,0
65,N2C,9,3.7808,98.0,6,63.37,0,0
65,S2C,9,4.0239,96.0,6,59.54,0,0
