time,edge,vehicles,speed,waiting,halting,traveltime,congestion
110,S2C,10,7.9236,12.0,3,30.24,0.1719
110,E2C,11,8.9427,0.0,0,26.79,0.1372
110,W2C,11,9.7625,0.0,0,24.54,0.1254
111,N2C,11,6.3867,29.0,5,37.52,0.2234
111,S2C,10,7.2676,15.0,3,32.97,0.1834
111,E2C,11,9.7676,0.0,0,24.53,0.1254
111,W2C,10,10.2112,0.0,0,23.46,0.113
112,N2C,12,6.5966,34.0,5,36.32,0.2297
112,S2C,11,7.4781,18.0,3,32.04,0.1883
112,E2C,10,10.5773,0.0,0,22.65,0.1077
112,W2C,10,11.3497,0.0,0,21.11,0.0966
113,N2C,12,5.8386,39.0,5,41.04,0.2439
113,S2C,11,7.0637,22.0,4,33.92,0.203
113,E2C,10,11.1014,0.0,0,21.58,0.1002
113,W2C,9,11.8766,0.0,0,20.17,0.083
114,N2C,12,5.5609,44.0,5,43.09,0.2513
114,S2C,11,6.6096,26.0,4,36.25,0.2122
114,E2C,8,11.9713,0.0,0,20.01,0.0756
114,W2C,8,12.2489,0.0,0,19.56,0.0716
115,N2C,13,5.9425,49.0,5,40.32,0.2551
115,S2C,12,6.9647,31.0,5,34.4,0.2224
115,E2C,7,12.5575,0.0,0,19.08,0.0612
115,W2C,8,12.536,0.0,0,19.11,0.0675
116,N2C,13,5.613,56.0,7,42.69,0.2765
116,S2C,12,6.1795,37.0,6,38.77,0.2437
116,E2C,7,12.7105,0.0,0,18.85,0.059
116,W2C,7,13.0774,0.0,0,18.32,0.0537
117,N2C,13,5.2837,63.0,7,45.35,0.2859
117,S2C,12,5.7678,43.0,6,41.54,0.2536
117,E2C,6,12.7761,0.0,0,18.75,0.052
117,W2C,6,12.9061,0.0,0,18.56,0.0502
118,N2C,14,5.4984,70.0,7,43.58,0.2935
118,S2C,13,6.3201,49.0,6,37.91,0.2557
118,E2C,6,12.3428,0.0,0,19.41,0.0583
118,W2C,7,13.0635,0.0,0,18.34,0.0539
119,N2C,14,4.9427,78.0,8,48.48,0.3128
119,S2C,13,5.696,55.0,6,42.06,0.2687
119,E2C,6,12.7073,0.0,0,18.86,0.053
119,W2C,6,13.1907,0.0,0,18.16,0.0461
120,N2C,14,4.5929,86.0,8,52.17,0.3232
120,S2C,13,5.4753,62.0,7,43.76,0.2825
120,E2C,6,12.5857,0.0,0,19.04,0.0548
120,W2C,6,13.2235,0.0,0,18.12,0.0456
121,N2C,15,4.8445,94.0,8,49.46,0.3309
121,S2C,14,5.5625,69.0,7,43.07,0.2919
121,E2C,6,12.7907,0.0,0,18.73,0.0518
121,W2C,7,13.1667,0.0,0,18.2,0.0524
122,N2C,15,4.4771,102.0,8,53.52,0.3415
122,S2C,14,5.2451,76.0,7,45.68,0.3011
122,E2C,6,12.6203,0.0,0,18.99,0.0543
122,W2C,6,12.9413,0.0,0,18.51,0.0497
123,N2C,15,4.2286,111.0,9,56.66,0.3571
123,S2C,14,4.908,84.0,8,48.82,0.3173
123,E2C,6,12.4408,0.0,0,19.26,0.0569
123,W2C,6,13.2905,0.0,0,18.03,0.0446
124,N2C,16,4.5317,120.0,9,52.87,0.3647
124,S2C,15,4.9853,92.0,8,48.06,0.3276
124,E2C,7,12.8712,0.0,0,18.62,0.0567
124,W2C,6,13.328,0.0,0,17.98,0.0441
125,N2C,16,4.5987,129.0,9,52.1,0.3698
125,S2C,15,4.701,101.0,9,50.97,0.3436
125,E2C,7,12.3696,0.0,0,19.37,0.0639
